"key","page_or_section","english","es-419","pt-BR","review_flag","human_review_status"
"seo.title","seo / title","StageLab Quick Analysis - AI Physique Assessment","StageLab Quick Analysis - Evaluación de físico con IA","StageLab Quick Analysis - Avaliação de físico com IA","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"seo.description","seo / description","Get a one-time StageLab competition-prep or physique assessment for $0.99 USD. No account or subscription required, and submitted photos are not retained.","Obtén una evaluación única de preparación competitiva o de físico con StageLab por $0.99 USD. No necesitas cuenta ni suscripción, y las fotos enviadas no se conservan.","Receba uma avaliação única de preparação para competição ou do físico com o StageLab por $0.99 USD. Não exige conta nem assinatura, e as fotos enviadas não são retidas.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW|SEO_REVIEW","PENDING"
"structuredDescription","structuredDescription","A one-time AI-assisted competition-prep or physique snapshot using three to five current photos.","Una evaluación única asistida por IA de preparación competitiva o del físico actual a partir de tres a cinco fotos.","Uma avaliação única assistida por IA de preparação para competição ou do físico atual usando de três a cinco fotos.","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"landing.heroTitle","landing / heroTitle","See how your physique measures up.","Descubre cómo se compara tu físico.","Veja como seu físico se compara.","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"landing.heroBody","landing / heroBody","Get a one-time StageLab AI physique analysis for $0.99 USD using 3-5 current photos. Choose a competition-prep assessment or a comparison with competition-level conditioning.","Obtén un análisis único de físico con IA de StageLab por $0.99 USD usando de 3 a 5 fotos actuales. Elige una evaluación de preparación competitiva o una comparación con el acondicionamiento típico de competencia.","Receba uma análise única de físico com IA do StageLab por $0.99 USD usando de 3 a 5 fotos atuais. Escolha uma avaliação de preparação para competição ou uma comparação com o condicionamento típico de competição.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"landing.productDetailsLabel","landing / productDetailsLabel","Product details","Detalles del producto","Detalhes do produto","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.oneTimeBadge","landing / oneTimeBadge","$0.99 USD one time","$0.99 USD pago único","$0.99 USD pagamento único","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.noSubscription","landing / noSubscription","No subscription","Sin suscripción","Sem assinatura","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"landing.noAccount","landing / noAccount","No account required","No necesitas una cuenta","Não exige conta","STANDARD_LANGUAGE_REVIEW","PENDING"
"landing.photosNotStored","landing / photosNotStored","Photos never stored by ElevareFit","ElevareFit nunca almacena tus fotos","As fotos nunca são armazenadas pela ElevareFit","LEGAL_OR_CONSENT_REVIEW","PENDING"
"landing.reportCanAssess","landing / reportCanAssess","Your report can assess","Tu informe puede evaluar","Seu relatório pode avaliar","STANDARD_LANGUAGE_REVIEW","PENDING"
